# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
2560	4.0000000000001878e-01	0	0	-2	2	2	-5.0093750000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	-1	2	2	-5.0031250000000005e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	0	2	2	-4.9968750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	1	2	2	-4.9906250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	2	2	2	-4.9843750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	3	2	2	-4.9781249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	4	2	2	-4.9718750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	5	2	2	-4.9656250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	6	2	2	-4.9593750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	7	2	2	-4.9531249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	8	2	2	-4.9468750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	9	2	2	-4.9406250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	10	2	2	-4.9343750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	11	2	2	-4.9281249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	12	2	2	-4.9218750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	13	2	2	-4.9156250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	14	2	2	-4.9093750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	15	2	2	-4.9031249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	16	2	2	-4.8968750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	17	2	2	-4.8906250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	18	2	2	-4.8843750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	19	2	2	-4.8781249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	20	2	2	-4.8718750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	21	2	2	-4.8656250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
