# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:Bvecx	12:Bvecy	13:Bvecz
1280	3.9999999999999286e-01	0	0	-2	2	2	-5.0187499999999996e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	4.7869084134006094e-18
1280	3.9999999999999286e-01	0	0	-1	2	2	-5.0062499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	4.7869084134006094e-18
1280	3.9999999999999286e-01	0	0	0	2	2	-4.9937500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	4.7869084134006094e-18
1280	3.9999999999999286e-01	0	0	1	2	2	-4.9812500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	9.4602044471132242e-18
1280	3.9999999999999286e-01	0	0	2	2	2	-4.9687500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	1.4152819389248095e-17
1280	3.9999999999999286e-01	0	0	3	2	2	-4.9562500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	1.4526102531967397e-17
1280	3.9999999999999286e-01	0	0	4	2	2	-4.9437500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	7.8022007518249735e-18
1280	3.9999999999999286e-01	0	0	5	2	2	-4.9312500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	-1.9842989933835447e-18
1280	3.9999999999999286e-01	0	0	6	2	2	-4.9187500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999922e-01	-7.1706830273740024e-18
1280	3.9999999999999286e-01	0	0	7	2	2	-4.9062500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	-7.0187971300152641e-18
1280	3.9999999999999286e-01	0	0	8	2	2	-4.8937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	5.0675348244989236e-19
1280	3.9999999999999286e-01	0	0	9	2	2	-4.8812500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	1.3574255116640088e-17
1280	3.9999999999999286e-01	0	0	10	2	2	-4.8687500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	1.5787025521109083e-17
1280	3.9999999999999286e-01	0	0	11	2	2	-4.8562500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999944e-01	6.0907356500972592e-18
1280	3.9999999999999286e-01	0	0	12	2	2	-4.8437500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	6.2195098603999953e-18
1280	3.9999999999999286e-01	0	0	13	2	2	-4.8312500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999944e-01	1.1166689073982292e-17
1280	3.9999999999999286e-01	0	0	14	2	2	-4.8187500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999944e-01	1.0271412036780584e-17
1280	3.9999999999999286e-01	0	0	15	2	2	-4.8062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999944e-01	6.6339270267600236e-18
1280	3.9999999999999286e-01	0	0	16	2	2	-4.7937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999933e-01	8.0714917317260875e-19
1280	3.9999999999999286e-01	0	0	17	2	2	-4.7812500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999944e-01	5.7310314209419199e-18
1280	3.9999999999999286e-01	0	0	18	2	2	-4.7687499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	1.2446437931121900e-17
1280	3.9999999999999286e-01	0	0	19	2	2	-4.7562500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.5521234329561073e-17
1280	3.9999999999999286e-01	0	0	20	2	2	-4.7437499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	4.3978135774375957e-18
1280	3.9999999999999286e-01	0	0	21	2	2	-4.7312500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.7174812758315815e-17
1280	3.9999999999999286e-01	0	0	22	2	2	-4.7187499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-4.4773981916875685e-17
1280	3.9999999999999286e-01	0	0	23	2	2	-4.7062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-4.8587024745625845e-17
1280	3.9999999999999286e-01	0	0	24	2	2	-4.6937499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-4.1991110604624539e-17
1280	3.9999999999999286e-01	0	0	25	2	2	-4.6812500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	-2.7357347662726825e-17
1280	3.9999999999999286e-01	0	0	26	2	2	-4.6687500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	-1.5356249247302496e-17
1280	3.9999999999999286e-01	0	0	27	2	2	-4.6562500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.4985880022360558e-17
1280	3.9999999999999286e-01	0	0	28	2	2	-4.6437500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.3120975976139341e-17
1280	3.9999999999999286e-01	0	0	29	2	2	-4.6312500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-6.7868173902651971e-18
1280	3.9999999999999286e-01	0	0	30	2	2	-4.6187500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.0963324972926206e-17
1280	3.9999999999999286e-01	0	0	31	2	2	-4.6062500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.9658766250111016e-17
1280	3.9999999999999286e-01	0	0	32	2	2	-4.5937500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-5.0729733746276403e-18
1280	3.9999999999999286e-01	0	0	33	2	2	-4.5812500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.0553541837595110e-17
1280	3.9999999999999286e-01	0	0	34	2	2	-4.5687500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-9.0150960445512951e-18
1280	3.9999999999999286e-01	0	0	35	2	2	-4.5562500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.1496974607458853e-17
1280	3.9999999999999286e-01	0	0	36	2	2	-4.5437500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.2006543203117501e-17
1280	3.9999999999999286e-01	0	0	37	2	2	-4.5312500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-7.4211734796933507e-18
1280	3.9999999999999286e-01	0	0	38	2	2	-4.5187500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.5779386926798697e-17
1280	3.9999999999999286e-01	0	0	39	2	2	-4.5062500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	3.8822301745136799e-17
1280	3.9999999999999286e-01	0	0	40	2	2	-4.4937500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	1.5532180928009829e-17
1280	3.9999999999999286e-01	0	0	41	2	2	-4.4812500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-7.9645728420245741e-20
1280	3.9999999999999286e-01	0	0	42	2	2	-4.4687500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.7626666799038702e-17
1280	3.9999999999999286e-01	0	0	43	2	2	-4.4562499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	9.3423908213040756e-18
1280	3.9999999999999286e-01	0	0	44	2	2	-4.4437500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	8.2584305919610660e-18
1280	3.9999999999999286e-01	0	0	45	2	2	-4.4312499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-3.5926015091117615e-18
1280	3.9999999999999286e-01	0	0	46	2	2	-4.4187500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.7045287863645903e-17
1280	3.9999999999999286e-01	0	0	47	2	2	-4.4062499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.4703939159007301e-17
1280	3.9999999999999286e-01	0	0	48	2	2	-4.3937500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.5626627573705811e-18
1280	3.9999999999999286e-01	0	0	49	2	2	-4.3812499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.1606274454390968e-17
1280	3.9999999999999286e-01	0	0	50	2	2	-4.3687500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	1.8773987757855603e-17
1280	3.9999999999999286e-01	0	0	51	2	2	-4.3562499999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	1.0500353299632723e-17
1280	3.9999999999999286e-01	0	0	52	2	2	-4.3437500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	7.0198728909331359e-18
1280	3.9999999999999286e-01	0	0	53	2	2	-4.3312500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-7.6304939912777154e-18
1280	3.9999999999999286e-01	0	0	54	2	2	-4.3187500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.7305521876201642e-17
1280	3.9999999999999286e-01	0	0	55	2	2	-4.3062500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.2241982359669407e-17
1280	3.9999999999999286e-01	0	0	56	2	2	-4.2937500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	-1.2242728513531337e-17
1280	3.9999999999999286e-01	0	0	57	2	2	-4.2812500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-2.0381683501081785e-17
1280	3.9999999999999286e-01	0	0	58	2	2	-4.2687500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.1654335156310290e-17
1280	3.9999999999999286e-01	0	0	59	2	2	-4.2562500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999999999956e-01	-4.6706374001747983e-18
1280	3.9999999999999286e-01	0	0	60	2	2	-4.2437500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-7.7298446672039231e-18
1280	3.9999999999999286e-01	0	0	61	2	2	-4.2312500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	-1.5595586239187222e-18
1280	3.9999999999999286e-01	0	0	62	2	2	-4.2187500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.6737536002369306e-18
1280	3.9999999999999286e-01	0	0	63	2	2	-4.2062500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	2.0974985530859368e-17
1280	3.9999999999999286e-01	0	0	64	2	2	-4.1937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999956e-01	6.4476152255760545e-17
1280	3.9999999999999286e-01	0	0	65	2	2	-4.1812500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999922e-01	5.5748401597580162e-17
1280	3.9999999999999286e-01	0	0	66	2	2	-4.1687500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999999845e-01	2.2747333779720716e-17
1280	3.9999999999999286e-01	0	0	67	2	2	-4.1562500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000000e-01	9.9999999999999323e-01	1.5358659887285544e-17
1280	3.9999999999999286e-01	0	0	68	2	2	-4.1437499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000000e-01	9.9999999999997669e-01	5.6519544291480067e-18
1280	3.9999999999999286e-01	0	0	69	2	2	-4.1312500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9999999999993117e-01	-9.3302158015108201e-18
1280	3.9999999999999286e-01	0	0	70	2	2	-4.1187499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.9999999999978373e-01	-3.2492423493049995e-17
1280	3.9999999999999286e-01	0	0	71	2	2	-4.1062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999932432e-01	-2.7537355411156475e-17
1280	3.9999999999999286e-01	0	0	72	2	2	-4.0937499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999787348e-01	3.1719725696928597e-18
1280	3.9999999999999286e-01	0	0	73	2	2	-4.0812500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999999330635e-01	1.5120472785095300e-17
1280	3.9999999999999286e-01	0	0	74	2	2	-4.0687499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999997891731e-01	5.6829801648709865e-18
1280	3.9999999999999286e-01	0	0	75	2	2	-4.0562500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999993693089e-01	-6.5152830058832832e-18
1280	3.9999999999999286e-01	0	0	76	2	2	-4.0437499999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999983756871e-01	3.9837429957211018e-18
1280	3.9999999999999286e-01	0	0	77	2	2	-4.0312500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9999999964534148e-01	5.9320258397178840e-17
1280	3.9999999999999286e-01	0	0	78	2	2	-4.0187500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9999999930551686e-01	5.2302854077641974e-17
1280	3.9999999999999286e-01	0	0	79	2	2	-4.0062500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9999999871897816e-01	-1.5596932739589723e-17
1280	3.9999999999999286e-01	0	0	80	2	2	-3.9937500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000000e-01	9.9999999771366488e-01	-4.3740047839423478e-17
